time,Hw[days],Std[days]
1991-01-01,50.0,8.0
1992-01-01,36.0,4.0
1993-01-01,34.0,6.0
1994-01-01,40.0,9.0
1995-01-01,21.0,6.0
1996-01-01,13.0,5.0
1997-01-01,15.0,6.0
1998-01-01,35.0,7.0
1999-01-01,11.0,3.0
2000-01-01,28.0,8.0
2001-01-01,39.0,9.0
2002-01-01,23.0,6.0
2003-01-01,68.0,7.0
2004-01-01,23.0,8.0
2005-01-01,31.0,5.0
2006-01-01,45.0,9.0
2007-01-01,31.0,8.0
2008-01-01,25.0,9.0
2009-01-01,38.0,9.0
2010-01-01,25.0,8.0
2011-01-01,20.0,5.0
2012-01-01,55.0,8.0
2013-01-01,19.0,5.0
2014-01-01,5.0,3.0
2015-01-01,41.0,4.0
2016-01-01,33.0,10.0
2017-01-01,58.0,8.0
2018-01-01,28.0,9.0
2019-01-01,43.0,7.0
2020-01-01,36.0,7.0
