time,TAppmax[days],Std[days]
1991-12-31,55.0,6.0
1992-12-31,43.0,3.0
1993-12-31,44.0,6.0
1994-12-31,56.0,6.0
1995-12-31,35.0,5.0
1996-12-31,26.0,8.0
1997-12-31,35.0,10.0
1998-12-31,51.0,7.0
1999-12-31,28.0,7.0
2000-12-31,37.0,7.0
2001-12-31,50.0,8.0
2002-12-31,35.0,6.0
2003-12-31,77.0,5.0
2004-12-31,42.0,9.0
2005-12-31,41.0,6.0
2006-12-31,53.0,4.0
2007-12-31,40.0,8.0
2008-12-31,49.0,10.0
2009-12-31,58.0,8.0
2010-12-31,40.0,5.0
2011-12-31,37.0,9.0
2012-12-31,62.0,6.0
2013-12-31,38.0,8.0
2014-12-31,20.0,6.0
2015-12-31,51.0,4.0
2016-12-31,50.0,8.0
2017-12-31,64.0,5.0
2018-12-31,57.0,9.0
2019-12-31,60.0,7.0
2020-12-31,52.0,6.0
