time,Su[days],Std[days]
1991-01-01,98.0,15.0
1992-01-01,77.0,13.0
1993-01-01,78.0,17.0
1994-01-01,91.0,13.0
1995-01-01,67.0,12.0
1996-01-01,64.0,15.0
1997-01-01,92.0,20.0
1998-01-01,83.0,10.0
1999-01-01,80.0,19.0
2000-01-01,82.0,23.0
2001-01-01,89.0,16.0
2002-01-01,73.0,15.0
2003-01-01,119.0,15.0
2004-01-01,96.0,16.0
2005-01-01,84.0,14.0
2006-01-01,97.0,16.0
2007-01-01,92.0,21.0
2008-01-01,80.0,13.0
2009-01-01,113.0,18.0
2010-01-01,86.0,12.0
2011-01-01,114.0,19.0
2012-01-01,94.0,9.0
2013-01-01,93.0,12.0
2014-01-01,73.0,18.0
2015-01-01,96.0,12.0
2016-01-01,100.0,14.0
2017-01-01,105.0,11.0
2018-01-01,108.0,13.0
2019-01-01,91.0,10.0
2020-01-01,100.0,16.0
