time,Su[days],Std[days]
1991-01-01,121.0,5.0
1992-01-01,125.0,10.0
1993-01-01,124.0,5.0
1994-01-01,117.0,8.0
1995-01-01,110.0,12.0
1996-01-01,101.0,7.0
1997-01-01,145.0,6.0
1998-01-01,116.0,8.0
1999-01-01,130.0,8.0
2000-01-01,139.0,8.0
2001-01-01,117.0,8.0
2002-01-01,109.0,11.0
2003-01-01,141.0,7.0
2004-01-01,127.0,8.0
2005-01-01,125.0,9.0
2006-01-01,130.0,8.0
2007-01-01,148.0,8.0
2008-01-01,109.0,8.0
2009-01-01,136.0,7.0
2010-01-01,118.0,6.0
2011-01-01,147.0,9.0
2012-01-01,126.0,8.0
2013-01-01,116.0,7.0
2014-01-01,121.0,12.0
2015-01-01,132.0,9.0
2016-01-01,120.0,8.0
2017-01-01,138.0,8.0
2018-01-01,136.0,8.0
2019-01-01,119.0,5.0
2020-01-01,134.0,9.0
