time,Tr[days],Std[days]
1991-01-01,30.0,14.0
1992-01-01,30.0,9.0
1993-01-01,19.0,13.0
1994-01-01,34.0,13.0
1995-01-01,29.0,11.0
1996-01-01,15.0,9.0
1997-01-01,19.0,13.0
1998-01-01,19.0,11.0
1999-01-01,13.0,12.0
2000-01-01,10.0,7.0
2001-01-01,32.0,14.0
2002-01-01,18.0,10.0
2003-01-01,67.0,18.0
2004-01-01,27.0,15.0
2005-01-01,23.0,11.0
2006-01-01,39.0,12.0
2007-01-01,15.0,14.0
2008-01-01,24.0,10.0
2009-01-01,32.0,16.0
2010-01-01,32.0,10.0
2011-01-01,25.0,12.0
2012-01-01,33.0,13.0
2013-01-01,33.0,11.0
2014-01-01,16.0,7.0
2015-01-01,41.0,10.0
2016-01-01,32.0,17.0
2017-01-01,41.0,15.0
2018-01-01,37.0,12.0
2019-01-01,32.0,10.0
2020-01-01,29.0,12.0
