time,Tr[days],Std[days]
1991-01-01,79.0,11.0
1992-01-01,59.0,8.0
1993-01-01,64.0,11.0
1994-01-01,75.0,7.0
1995-01-01,56.0,8.0
1996-01-01,53.0,11.0
1997-01-01,67.0,11.0
1998-01-01,65.0,7.0
1999-01-01,66.0,15.0
2000-01-01,61.0,15.0
2001-01-01,64.0,8.0
2002-01-01,58.0,11.0
2003-01-01,92.0,7.0
2004-01-01,66.0,12.0
2005-01-01,67.0,11.0
2006-01-01,72.0,10.0
2007-01-01,58.0,12.0
2008-01-01,68.0,9.0
2009-01-01,74.0,7.0
2010-01-01,58.0,11.0
2011-01-01,73.0,14.0
2012-01-01,77.0,7.0
2013-01-01,67.0,11.0
2014-01-01,48.0,14.0
2015-01-01,72.0,9.0
2016-01-01,75.0,7.0
2017-01-01,85.0,8.0
2018-01-01,92.0,9.0
2019-01-01,83.0,6.0
2020-01-01,84.0,8.0
