time,Tx90p[days],Std[days]
1991-01-01,26.0,3.0
1992-01-01,44.0,3.0
1993-01-01,25.0,3.0
1994-01-01,36.0,2.0
1995-01-01,33.0,2.0
1996-01-01,8.0,2.0
1997-01-01,46.0,2.0
1998-01-01,29.0,2.0
1999-01-01,20.0,3.0
2000-01-01,31.0,2.0
2001-01-01,30.0,2.0
2002-01-01,27.0,2.0
2003-01-01,63.0,3.0
2004-01-01,27.0,2.0
2005-01-01,29.0,2.0
2006-01-01,46.0,4.0
2007-01-01,65.0,3.0
2008-01-01,30.0,3.0
2009-01-01,23.0,2.0
2010-01-01,5.0,1.0
2011-01-01,53.0,2.0
2012-01-01,48.0,3.0
2013-01-01,24.0,2.0
2014-01-01,35.0,3.0
2015-01-01,67.0,3.0
2016-01-01,31.0,2.0
2017-01-01,62.0,3.0
2018-01-01,34.0,2.0
2019-01-01,51.0,2.0
2020-01-01,48.0,3.0
