time,percentiles,Tx90p[days],Std[days]
1991-01-01,90,24.0,3.0
1992-01-01,90,23.0,5.0
1993-01-01,90,25.0,7.0
1994-01-01,90,35.0,7.0
1995-01-01,90,27.0,4.0
1996-01-01,90,9.0,1.0
1997-01-01,90,47.0,6.0
1998-01-01,90,36.0,2.0
1999-01-01,90,18.0,3.0
2000-01-01,90,22.0,2.0
2001-01-01,90,28.0,3.0
2002-01-01,90,22.0,2.0
2003-01-01,90,74.0,11.0
2004-01-01,90,27.0,3.0
2005-01-01,90,28.0,2.0
2006-01-01,90,48.0,3.0
2007-01-01,90,47.0,5.0
2008-01-01,90,23.0,2.0
2009-01-01,90,25.0,2.0
2010-01-01,90,3.0,2.0
2011-01-01,90,58.0,3.0
2012-01-01,90,38.0,2.0
2013-01-01,90,23.0,3.0
2014-01-01,90,34.0,4.0
2015-01-01,90,68.0,7.0
2016-01-01,90,33.0,3.0
2017-01-01,90,61.0,4.0
2018-01-01,90,48.0,5.0
2019-01-01,90,54.0,6.0
2020-01-01,90,50.0,6.0
