time,WD[days],Std[days]
1991-12-31,43.0,2.0
1992-12-31,68.0,4.0
1993-12-31,45.0,3.0
1994-12-31,66.0,3.0
1995-12-31,48.0,2.0
1996-12-31,11.0,2.0
1997-12-31,69.0,4.0
1998-12-31,52.0,3.0
1999-12-31,45.0,2.0
2000-12-31,50.0,3.0
2001-12-31,48.0,3.0
2002-12-31,43.0,2.0
2003-12-31,64.0,3.0
2004-12-31,45.0,2.0
2005-12-31,41.0,2.0
2006-12-31,54.0,3.0
2007-12-31,76.0,4.0
2008-12-31,57.0,3.0
2009-12-31,49.0,4.0
2010-12-31,17.0,2.0
2011-12-31,72.0,2.0
2012-12-31,71.0,3.0
2013-12-31,45.0,3.0
2014-12-31,47.0,2.0
2015-12-31,79.0,3.0
2016-12-31,43.0,2.0
2017-12-31,89.0,3.0
2018-12-31,46.0,3.0
2019-12-31,63.0,3.0
2020-12-31,79.0,4.0
