time,Ws3di[days],Std[days]
1991-01-01,11.0,6.0
1992-01-01,7.0,3.0
1993-01-01,2.0,2.0
1994-01-01,5.0,2.0
1995-01-01,2.0,3.0
1996-01-01,4.0,1.0
1997-01-01,12.0,1.0
1998-01-01,16.0,4.0
1999-01-01,4.0,3.0
2000-01-01,2.0,3.0
2001-01-01,21.0,7.0
2002-01-01,11.0,4.0
2003-01-01,45.0,14.0
2004-01-01,12.0,4.0
2005-01-01,8.0,4.0
2006-01-01,16.0,3.0
2007-01-01,25.0,4.0
2008-01-01,6.0,3.0
2009-01-01,12.0,3.0
2010-01-01,10.0,4.0
2011-01-01,44.0,6.0
2012-01-01,16.0,5.0
2013-01-01,11.0,5.0
2014-01-01,23.0,5.0
2015-01-01,46.0,6.0
2016-01-01,23.0,4.0
2017-01-01,26.0,9.0
2018-01-01,26.0,4.0
2019-01-01,20.0,6.0
2020-01-01,18.0,4.0
