time,percentiles,Ws3di[days],Std[days]
1991-01-01,90,13.0,3.0
1992-01-01,90,7.0,5.0
1993-01-01,90,9.0,6.0
1994-01-01,90,17.0,7.0
1995-01-01,90,10.0,5.0
1996-01-01,90,4.0,1.0
1997-01-01,90,18.0,3.0
1998-01-01,90,22.0,2.0
1999-01-01,90,7.0,2.0
2000-01-01,90,6.0,1.0
2001-01-01,90,15.0,2.0
2002-01-01,90,8.0,3.0
2003-01-01,90,49.0,10.0
2004-01-01,90,11.0,3.0
2005-01-01,90,16.0,4.0
2006-01-01,90,26.0,6.0
2007-01-01,90,28.0,6.0
2008-01-01,90,7.0,4.0
2009-01-01,90,9.0,2.0
2010-01-01,90,0.0,0.0
2011-01-01,90,45.0,4.0
2012-01-01,90,23.0,5.0
2013-01-01,90,9.0,1.0
2014-01-01,90,15.0,5.0
2015-01-01,90,45.0,12.0
2016-01-01,90,12.0,3.0
2017-01-01,90,40.0,5.0
2018-01-01,90,29.0,6.0
2019-01-01,90,32.0,5.0
2020-01-01,90,18.0,3.0
